Sentences of 106_the_poor_millers_boy_and_the_cat,RST Relation 106_the_poor_millers_boy_and_the_cat,Nuclearity,One Label
"Give us some of it, cried the little men; but she replied, There is not enough for myself, so how can I give it away to other people?",Contrast,S,-
"When she had done eating, they said, There is a broom for thee, sweep all clean for us outside by the back-door.",Contrast,N,NEUTRAL
Humph!,Attribution,S,ANGER
"Sweep for yourselves, she answered, I am not your servant.",Contrast,S,-
"When she saw that they were not going to give her anything, she went out by the door.",temporal,S,-
"Then the little men said to each other, What shall we give her as she is so naughty, and has a wicked envious heart, that will never let her do a good turn to any one?",Contrast,S,-
"The first said, I grant that she may grow uglier every day.",evaluation,S,-
"The second said, I grant that at every word she says, a toad shall spring out of her mouth.",Contrast,S,-
"The third said, I grant that she may die a miserable death.",evaluation,N,-
"The maiden looked for strawberries outside, but as she found none, she went angrily home.",Elaboration,S,ANGER
"And when she opened her mouth, and was about to tell her mother what had happened to her in the wood, with every word she said, a toad sprang out of her mouth, so that every one was seized with horror of her.",Contrast,S,-
"Then the step-mother was still more enraged, and thought of nothing but how to do every possible injury to the mans daughter, whose beauty, however, grew daily greater.",Elaboration,S,ANGER
"At length she took a cauldron, set it on the fire, and boiled yarn in it.",temporal,S,-
"When it was boiled, she flung it on the poor girls shoulder, and gave her an axe in order that she might go on the frozen river, cut a hole in the ice, and rinse the yarn.",Contrast,S,-
"She was obedient, went thither and cut a hole in the ice; and while she was in the midst of her cutting, a splendid carriage came driving up, in which sat the King.",Elaboration,S,NEUTRAL
"The carriage stopped, and the King asked,My child, who are thou, and what art thou doing here?",Elaboration,N,NEUTRAL
"I am a poor girl, and I am rinsing yarn.",Elaboration,S,NEUTRAL
"Then the King felt compassion, and when he saw that she was so very beautiful, he said to her, Wilt thou go away with me?",Contrast,S,NEUTRAL
"Ah, yes, with all my heart, she answered, for she was glad to get away from the mother and sister.",Contrast,S,JOY
"So she got into the carriage and drove away with the King, and when they arrived at his palace, the wedding was celebrated with great pomp, as the little men had granted to the maiden.",Contrast,S,JOY
"When a year was over, the young Queen bore a son, and as the step-mother had heard of her great good-fortune, she came with her daughter to the palace and pretended that she wanted to pay her a visit.",Elaboration,S,NEUTRAL
"Once, however, when the King had gone out, and no one else was present, the wicked woman seized the Queen by the head, and her daughter seized her by the feet, and they lifted her out of the bed, and threw her out of the window into the stream which flowed by.",Contrast,S,-
"Then the ugly daughter laid herself in the bed, and the old woman covered her up over her head.",Contrast,S,NEUTRAL
"When the King came home again and wanted to speak to his wife, the old woman cried, Hush, hush, that cant be now, she is lying in a violent perspiration; you must let her rest to-day.",topic-comment,S,NEUTRAL
"The King suspected no evil, and did not come back again till next morning; and as he talked with his wife and she answered him, with every word a toad leaped out, whereas formerly a piece of gold had fallen out.",Contrast,S,NEUTRAL
"Then he asked what that could be, but the old woman said that she had got that from the violent perspiration, and would soon lose it again.",Contrast,S,NEUTRAL
"During the night, however, the scullion saw a duck come swimming up the gutter, and it said,",Contrast,S,NEUTRAL
"King, what art thou doing now?",Elaboration,S,NEUTRAL
"Sleepest thou, or wakest thou?",Elaboration,S,NEUTRAL
"And as he returned no answer, it said,",Attribution,S,NEUTRAL
"And my guests, What may they do?",topic-comment,S,NEUTRAL
"The scullion said,",Attribution,S,NEUTRAL
"They are sleeping soundly, too.",Elaboration,S,NEUTRAL
"Then it asked again,",Contrast,S,NEUTRAL
What does little baby mine?,Elaboration,S,NEUTRAL
"He answered,",Attribution,S,NEUTRAL
Sleepeth in her cradle fine.,Attribution,S,NEUTRAL
"Then she went upstairs in the form of the Queen, nursed the baby, shook up its little bed, covered it over, and then swam away again down the gutter in the shape of a duck.",Contrast,S,NEUTRAL
"She came thus for two nights; on the third, she said to the scullion, Go and tell the King to take his sword and swing it three times over me on the threshold.",Contrast,S,NEUTRAL
"Then the scullion ran and told this to the King, who came with his sword and swung it thrice over the spirit, and at the third time, his wife stood before him strong, living, and healthy as she had been before.",Contrast,S,-
"Thereupon the King was full of great joy, but he kept the Queen hidden in a chamber until the Sunday, when the baby was to be christened.",Contrast,S,JOY
"And when it was christened he said, What does a person deserve who drags another out of bed and throws him in the water?",Contrast,S,NEUTRAL
"The wretch deserves nothing better, answered the old woman, than to be taken and put in a barrel stuck full of nails, and rolled down hill into the water.",Elaboration,S,NEUTRAL
"Then, said the King, Thou hast pronounced thine own sentence; and he ordered such a barrel to be brought, and the old woman to be put into it with her daughter, and then the top was hammered on, and the barrel rolled down hill until it went into the river.",Contrast,S,NEUTRAL
Sentences of 163_the_glass_coffin,RST Relation 163_the_glass_coffin,Nuclearity,One Label
"Let no one ever say that a poor tailor cannot do great things and win high honors; all that is needed is that he should go to the right smithy, and what is of most consequence, that he should have good luck.",evaluation,N,NEUTRAL
"A civil, adroit tailors apprentice once went out travelling, and came into a great forest, and, as he did not know the way, he lost himself.",Elaboration,N,NEUTRAL
"Night fell, and nothing was left for him to do, but to seek a bed in this painful solitude.",Elaboration,N,SADNESS
"He might certainly have found a good bed on the soft moss, but the fear of wild beasts let him have no rest there, and at last he was forced to make up his mind to spend the night in a tree.",Contrast,S,FEAR
"He sought out a high oak, climbed up to the top of it, and thanked God that he had his goose with him, for otherwise the wind which blew over the top of the tree would have carried him away.",Contrast,S,-
"After he had spent some hours in the darkness, not without fear and trembling, he saw at a very short distance the glimmer of a light, and as he thought that a human habitation might be there, where he would be better off than on the branches of a tree, he got carefully down and went towards the light.",Contrast,S,-
It guided him to a small hut that was woven together of reeds and rushes.,Elaboration,N,NEUTRAL
"He knocked boldly, the door opened, and by the light which came forth he saw a little hoary old man who wore a coat made of bits of colored stuff sewn together.",Elaboration,S,-
"Who are you, and what do you want? asked the man in a grumbling voice.",evaluation,S,ANGER
"I am a poor tailor, he answered, whom night has surprised here in the wilderness, and I earnestly beg you to take me into your hut until morning.",evaluation,S,-
"Go your way, replied the old man in a surly voice, I will have nothing to do with runagates; seek for yourself a shelter elsewhere.",evaluation,S,ANGER
"After these words he was about to slip into his hut again, but the tailor held him so tightly by the corner of his coat, and pleaded so piteously, that the old man, who was not so ill-natured as he wished to appear, was at last softened, and took him into the hut with him where he gave him something to eat, and then pointed out to him a very good bed in a corner.",Contrast,S,-
"The weary tailor needed no rocking; but slept sweetly till morning, but even then would not have thought of getting up, if he had not been aroused by a great noise.",Elaboration,S,-
